file,domain,label,kind,source_repo,source_url,licence,original_path,bytes,width,height,clip_start_s,clip_len_s,rows,trips,days
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00000.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_1.jpg,119922,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00001.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_10.jpg,77389,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00002.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_100.jpg,93979,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00003.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_101.jpg,162893,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00004.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_102.jpg,84142,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00005.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_103.jpg,137304,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00006.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_104.jpg,90280,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00007.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_105.jpg,119385,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00008.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_106.jpg,119419,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00009.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_107.jpg,88174,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00010.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_108.jpg,88174,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00011.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_109.jpg,86273,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00012.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_11.jpg,77420,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00013.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_110.jpg,86273,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00014.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_111.jpg,44812,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00015.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_112.jpg,44812,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00016.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_113.jpg,59779,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00017.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_114.jpg,59779,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00018.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_115.jpg,73935,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00019.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_116.jpg,73935,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00020.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_117.jpg,64217,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00021.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_118.jpg,64217,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00022.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_119.jpg,76961,640.0,640.0,,,,,
images/corrosion/corrosion_industrial_metal/industrial_corrosi_00023.jpg,corrosion,corrosion_industrial_metal,image,krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,https://github.com/krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11,MIT,corrosion/krishnapriya-nynaru__Industrial-Corrosion-Detection-YOLOv11/Industrial_corrosion_detection_yolov11/test_images/corrosiontest_12.jpg,135934,640.0,640.0,,,,,
