corrosion	krishnapriya-nynaru/Industrial-Corrosion-Detection-YOLOv11
corrosion	esmaeiliiraj/corrosion_image_dataset
corrosion	H-Cavid/AP-corrosion-detection
car_damage	Oleksy1121/Car-damage-detection
car_damage	dxlabskku/TQVCD
car_damage	umerforsure/Car-Damage-Detection
car_damage	nicolasmetallo/car-damage-detector
car_damage	ebeyabraham/car-damage-detection
flood	ELindberg13/Flood_Depths
flood	Trifurs/BEW-YOLOv8
tyre	Arsalanzabeeb786/Tyre-Helath-Quality-Prediction
tyre	frankenstein32/Tire-Defect-Detection
tyre	wisetrue95/Tire
tyre	felitsch/CNNs-for-Tire-Damage-Detection
plates	iNusz/Malaysia_LicensePlate
plates	Sehba1/Malaysian-License-Plate-Recognition-State-Identification-System
plates	Nexlson/Malaysia_License_Plate_Generator
plates	afeefabubakar/License-Plate-Detection-with-OpenCV
audio	AwaisSabit/Car-Engine-Sounds-Dataset
audio	amrrashed/Sound-Based-Vehicle-Diagnostics-Emergency-Signal-Recognition
audio	artem111-oss/car-diagnosis
audio	steDamiano/EV-sound-classification-dataset
audio	KaroDievas/car-sound-classification-with-keras
gas_sensor	miltongneto/Gas-Sensor-Array-Drift
gas_sensor	Dalageo/ml-gas-sensor-drift
ev_battery	anirudhkhatry/SOH-prediction-using-NASA-Dataset
ev_battery	bnarms/NASA-Battery-Dataset
obd	hayatu4islam/Automotive_Diagnostics
obd	mytrile/obd-trouble-codes
obd	foerbsnavi/OBDex
inspection_history	ivitskiy/uk-mot-risk-index-dataset
inspection_history	Nasser-Sanchez/UK-MOT-Reliability-Analysis
insurance	Avitrya/Car-Insurance-Fraud-Detection
insurance	DandiMahendris/Auto-Insurance-Fraud-Detection
salvage_flood	rebrowser/copart-dataset
used_cars	jyothiknj/Used-Cars-Dataset
malaysia	tasadapullo-svg/Malaysia-7Cities-Traffic-Master-Dataset-2025
malaysia	mfaizalzain/mygov
